filename,price,area,room_type,location,utilities,gender_requirement,contact,notes,bedrooms,bathrooms
p7-l8_20250404-160139,,7 m,,q10,wifi;máy lạnh;ban công,không yêu cầu,,gần lotte mart q10  chi nhánh 1: khu cư xá bắc hải,,
p70-l0_20250404-160805,500k,,,q11,,không yêu cầu,,gần q10  gần trung tâm nhiều tiện ích ra vào vân tay giờ giấc tự do  an ninh cao 24/7  không chung chủ hỗ trợ qua xem và giữ phòng  ưu đãi giảm 300k khi thuê phòng bất kì qua tin này,,
p70-l11_20250404-160805,", k",,,q8,máy lạnh,không yêu cầu,,gần cụm đh sgu,,
p70-l13_20250404-160805,", tr",,phòng khép kín,quận 10,máy lạnh;máy giặt,không yêu cầu,,gần chợ,,
p70-l15_20250404-160805,,,,q3,,không yêu cầu,,,,
p70-l16_20250404-160805,4tr,,phòng trọ,quận 3,máy giặt,không yêu cầu,,gần các tiện ích,,
p70-l19_20250404-160805,5tr,,phòng trọ,quận 3,ban công,không yêu cầu,,gần các tiện ích như trường học,,
p70-l2_20250404-160805,", tr",,phòng khép kín,quận 10,ban công,không yêu cầu,,gần các trường đại học: 	•	đh bách khoa;gần an dương vương;gần chợ;gần các bệnh viện lớn: 115,,
p70-l8_20250404-160805,"5, k",,,q5,,không yêu cầu,,,,
p71-l11_20250404-160805,", k",,,q6,máy lạnh;tủ lạnh,không yêu cầu,,,,
p71-l13_20250404-160805,,,,,ban công;máy giặt,không yêu cầu,,,,
p72-l19_20250404-160805,4tr,30m2,,,ban công;tủ lạnh,không yêu cầu,,,,
p73-l0_20250404-160805,4tr,22m2,,q1,,không yêu cầu,,,,
p73-l14_20250404-160805,,35m2,,quận 11,máy giặt,không yêu cầu,,gần đại học văn hiến - đầm sen quận 11  địa chỉ: hoà bình - tân phú - quận 11 phòng rộng 30-35m2 giờ giấc tự do bảo vệ toà nhà có máy giặt chung - sân phơi ra vào thẻ từ vân tay phòng rộng không giới hạn người ở  liên hệ xem phòng gọi trước 20p,,
p73-l19_20250404-160805,2k,,,,,không yêu cầu,,,,
p73-l1_20250404-160805,4k,,,,,không yêu cầu,,,,
p73-l2_20250404-160805,", k",,,,,không yêu cầu,,,,
p73-l5_20250404-160805,,,,q1,ban công,không yêu cầu,,,,
p73-l7_20250404-160805,,,,quận 4,,không yêu cầu,,,,
p74-l12_20250404-160805,4tr,,,q8,ban công,không yêu cầu,,gần các đại học ueh,,
