,filename,address
55,p3-l5_20250320-011409,"Đường Lâm Văn Bền, Phường Tân Kiểng, Quận 7, Hồ Chí Minh"
56,p3-l6_20250320-011409,"Đường Mê Linh, Phường 19, Bình Thạnh, Hồ Chí Minh"
57,p3-l7_20250320-011409,"Đường Ung Văn Khiêm, Phường 25, Bình Thạnh, Hồ Chí Minh"
58,p3-l8_20250320-011409,"Đường Ngô Gia Tự, Phường 9, Quận 5, Hồ Chí Minh"
59,p3-l9_20250320-011409,"Phường Tăng Nhơn Phú B, Thủ Đức, Hồ Chí Minh"
60,p4-l0_20250320-011409,"701, Đường Tân Sơn, Phường 12, Gò Vấp, Hồ Chí Minh"
61,p4-l10_20250320-011409,"Đường Ngô Gia Tự, Phường 9, Quận 5, Hồ Chí Minh"
62,p4-l11_20250320-011409,"Đường Dương Bá Trạc, Phường 1, Quận 8, Hồ Chí Minh"
63,p4-l12_20250320-011409,"Đường Nguyễn Trãi, Phường Phạm Ngũ Lão, Quận 1, Hồ Chí Minh"
64,p4-l13_20250320-011409,"Đường Nguyễn Thông, Phường Võ Thị Sáu, Quận 3, Hồ Chí Minh"
65,p4-l14_20250320-011409,"
                    Đường Lê Tuấn Mậu, Phường 13, Quận 6, Hồ Chí Minh
                "
66,p4-l15_20250320-011409,"Phường Tân Hưng, Quận 7, Hồ Chí Minh"
67,p4-l16_20250320-011409,"
                    Đường Lê Văn Thịnh, Phường Cát Lái, Quận 2, Hồ Chí Minh
                "
68,p4-l17_20250320-011409,"Đường Trần Nhân Tôn, Phường 2, Quận 10, Hồ Chí Minh"
69,p4-l18_20250320-011409,"Đường 128, Phường Phước Long A, Quận 9, Hồ Chí Minh"
70,p4-l19_20250320-011409,"Đường Trịnh Khắc Lập, Phường  Thạnh Mỹ Lợi, Quận 2, Hồ Chí Minh"
71,p4-l1_20250320-011409,"Đường Nguyễn Thái Sơn, Phường 5, Gò Vấp, Hồ Chí Minh"
72,p4-l2_20250320-011409,"Đường Nguyễn Thượng Hiền, Phường 6, Bình Thạnh, Hồ Chí Minh"
73,p4-l3_20250320-011409,"Đường Phạm Phú Thứ, Phường 11, Tân Bình, Hồ Chí Minh"
74,p4-l4_20250320-011409,"Đường Kinh Dương Vương, Phường 12, Quận 6, Hồ Chí Minh"
75,p4-l5_20250320-011409,"
                    Đường Cách Mạng Tháng Tám, Phường 12, Quận 10, Hồ Chí Minh
                "
76,p4-l6_20250320-011409,"Đường Nguyễn Thị Thập, Phường Tân Quy, Quận 7, Hồ Chí Minh"
77,p4-l7_20250320-011409,"Đường Hưng Phú, Phường Hưng Phú, Quận 8, Hồ Chí Minh"
78,p4-l8_20250320-011409,"
                    Đường Trường Sa, Phường 12, Quận 3, Hồ Chí Minh
                "
79,p4-l9_20250320-011409,"Đường Phan Chu Trinh, Phường 24, Bình Thạnh, Hồ Chí Minh"
80,p5-l0_20250320-011409,"Đường Lê Thị Chợ, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
81,p5-l10_20250320-011409,"Đường Số 339, Phường Phước Long A, Quận 9, Hồ Chí Minh"
82,p5-l11_20250320-011409,"
                    Đường Nguyễn Thượng Hiền, Phường 1, Gò Vấp, Hồ Chí Minh
                "
83,p5-l12_20250320-011409,"Đường Thoại Ngọc Hầu, Phường Phú Thạnh, Tân Phú, Hồ Chí Minh"
84,p5-l13_20250320-011409,"331, Đường Phan Huy Ích, Phường 12, Gò Vấp, Hồ Chí Minh"
85,p5-l14_20250320-011409,"Đường  Nguyễn Xí, Phường 26, Bình Thạnh, Hồ Chí Minh"
86,p5-l15_20250320-011409,"Đường Nguyễn Kiệm, Phường 5, Phú Nhuận, Hồ Chí Minh"
87,p5-l16_20250320-011409,"
                    Đường Xô Viết Nghệ Tĩnh, Phường 25, Bình Thạnh, Hồ Chí Minh
                "
88,p5-l17_20250320-011409,"
                    502, Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Hồ Chí Minh
                "
89,p5-l18_20250320-011409,"Đường Nguyễn Hữu Cảnh, Phường 22, Bình Thạnh, Hồ Chí Minh"
90,p5-l19_20250320-011409,"Đường Tân Thuận Tây, Phường Bình Thuận, Quận 7, Hồ Chí Minh"
