,filename,address
53,p110-l18_20250404-160805,"Đường Khánh Hội, Phường 9, Quận 4, Tp Hồ Chí Minh"
54,p110-l4_20250404-160805,"Đường Lê Thị Riêng, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh"
55,p110-l5_20250404-160805,"Cầu Nguyễn Văn Cừ, Phường 1, Quận 4, Tp Hồ Chí Minh"
56,p110-l6_20250404-160805,"Đường Võ Văn Kiệt, Phường 12, Quận 5, Tp Hồ Chí Minh"
57,p111-l10_20250404-160805,"44, Đường Nguyễn Ngọc Lộc, Phường 14, Quận 10, Tp Hồ Chí Minh"
58,p111-l3_20250404-160805,"Cầu Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh"
59,p112-l10_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Phú Thuận, Quận 7, Tp Hồ Chí Minh"
60,p112-l17_20250404-160805,"Đường Hồng Bàng, Phường 1, Quận 11, Tp Hồ Chí Minh"
61,p112-l9_20250404-160805,"Đường Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh"
62,p113-l14_20250404-160805,"Đường Kinh Dương Vương, Phường 10, Quận 6, Tp Hồ Chí Minh"
63,p113-l3_20250404-160805,"Đường Tôn Thất Thuyết, Phường 16, Quận 4, Tp Hồ Chí Minh"
64,p113-l4_20250404-160805,"Đường Lý Chiêu Hoàng, Phường 10, Quận 6, Tp Hồ Chí Minh"
65,p113-l6_20250404-160805,"Đường Nguyễn Thông, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
66,p114-l2_20250404-160805,"Đường Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh"
67,p114-l3_20250404-160805,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
68,p115-l17_20250404-160805,"Đường Vòng xoay Lê Đại Hành, Phường 14, Quận 10, Tp Hồ Chí Minh"
69,p117-l0_20250404-160805,"Đường An Dương Vương, Phường 9, Quận 5, Tp Hồ Chí Minh"
70,p117-l14_20250404-160805,"359, Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
71,p117-l19_20250404-160805,"Đường Tôn Thất Thuyết, Phường 15, Quận 4, Tp Hồ Chí Minh"
72,p117-l2_20250404-160805,"Đường Cách Mạng Tháng 8, Phường 9, Quận 3, Tp Hồ Chí Minh"
73,p117-l3_20250404-160805,"Đường Cao Thắng, Phường 12, Quận 10, Tp Hồ Chí Minh"
74,p117-l9_20250404-160805,"Đường Trần Hưng Đạo, Phường Cầu Kho, Quận 1, Tp Hồ Chí Minh"
75,p118-l0_20250404-160805,"52, Đường Gia Phú, Phường 13, Quận 5, Tp Hồ Chí Minh"
76,p119-l10_20250404-160805,"Đường Nguyễn Tri Phương, Phường 9, Quận 5, Tp Hồ Chí Minh"
77,p119-l7_20250404-160805,"Đường số 3, Phường Tân Kiểng, Quận 7, Tp Hồ Chí Minh"
78,p119-l9_20250404-160805,"Đường Ký Hòa, Phường 11, Quận 5, Tp Hồ Chí Minh"
79,p12-l10_20250404-160139,"118, Hẻm 118 Đường Nguyễn Thị Thập, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh"
80,p12-l12_20250404-160139,"Đường Tân Hòa Đông, Phường 13, Quận 6, Tp Hồ Chí Minh"
81,p12-l14_20250404-160139,"Đường Lạc Long Quân, Phường 5, Quận 11, Tp Hồ Chí Minh"
82,p12-l18_20250404-160139,"Đường Nguyễn Trãi, Phường Bến Thành, Quận 1, Tp Hồ Chí Minh"
83,p120-l12_20250404-160805,"Đường Hòa Bình, Phường 5, Quận 11, Tp Hồ Chí Minh"
84,p120-l13_20250404-160805,"Đường Kinh Dương Vương, Phường 11, Quận 6, Tp Hồ Chí Minh"
85,p120-l14_20250404-160805,"Đường Hòa Bình, Phường 5, Quận 11, Tp Hồ Chí Minh"
86,p120-l17_20250404-160805,"Đường Tân Thới Nhất 5, Phường Tân Thới Nhất, Quận 12, Tp Hồ Chí Minh"
87,p120-l4_20250404-160805,"Đường Thạnh Lộc 29, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
88,p120-l5_20250404-160805,"Đường Thạnh Lộc 29, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
89,p120-l7_20250404-160805,"Đường Tô Ký, Phường Trung Mỹ Tây, Quận 12, Tp Hồ Chí Minh"
90,p120-l8_20250404-160805,"Đường Tân Hòa Đông, Phường 14, Quận 6, Tp Hồ Chí Minh"
91,p121-l13_20250404-160805,"Đường Hồng Bàng, Phường 1, Quận 11, Tp Hồ Chí Minh"
92,p121-l14_20250404-160805,"Đường Lê Tuấn Mậu, Phường 13, Quận 6, Tp Hồ Chí Minh"
93,p122-l10_20250404-160805,"Cầu Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh"
94,p122-l12_20250404-160805,"Đường An Dương Vương, Phường 13, Quận 6, Tp Hồ Chí Minh"
95,p122-l13_20250404-160805,"Cầu Nguyễn Tri Phương, Phường 6, Quận 5, Tp Hồ Chí Minh"
96,p122-l14_20250404-160805,"Đường Ngã Bảy Lý Thái Tổ, Phường 1, Quận 10, Tp Hồ Chí Minh"
97,p122-l15_20250404-160805,"Đường Hậu Giang, Phường 12, Quận 6, Tp Hồ Chí Minh"
98,p122-l16_20250404-160805,"Đường Trần Phú, Phường 4, Quận 5, Tp Hồ Chí Minh"
99,p122-l9_20250404-160805,"Đường Hòa Bình, Phường 5, Quận 11, Tp Hồ Chí Minh"
100,p123-l11_20250404-160805,"Đường Chợ Lớn, Phường 11, Quận 5, Tp Hồ Chí Minh"
101,p124-l14_20250404-160805,"Đường Nguyễn Văn Cừ, Phường 2, Quận 5, Tp Hồ Chí Minh"
102,p124-l18_20250404-160805,"Đường Hà Huy Giáp, Phường Thạnh Lộc, Quận 12, Tp Hồ Chí Minh"
103,p124-l19_20250404-160805,"Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh"
104,p124-l5_20250404-160805,"Đường An Bình, Phường 6, Quận 5, Tp Hồ Chí Minh"
105,p124-l7_20250404-160805,"Đường Hậu Giang, Phường 12, Quận 6, Tp Hồ Chí Minh"
106,p125-l13_20250404-160805,"Đường Hậu Giang, Phường 2, Quận 6, Tp Hồ Chí Minh"
107,p125-l15_20250404-160805,"Đường An Dương Vương, Phường 12, Quận 6, Tp Hồ Chí Minh"
108,p125-l19_20250404-160805,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
109,p125-l3_20250404-160805,"Đường Hồ Bá Kiện, Phường 15, Quận 10, Tp Hồ Chí Minh"
110,p126-l11_20250404-160805,"Đường Hòa Bình, Phường 5, Quận 11, Tp Hồ Chí Minh"
111,p126-l16_20250404-160805,"Đường Hùng Vương, Phường 9, Quận 5, Tp Hồ Chí Minh"
112,p126-l17_20250404-160805,"Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh"
113,p126-l7_20250404-160805,"Đường Nguyễn Thị Thập, Phường Tân Phú, Quận 7, Tp Hồ Chí Minh"
114,p126-l8_20250404-160805,"Hẻm 458 Huỳnh Tấn Phát, Phường Bình Thuận, Quận 7, Tp Hồ Chí Minh"
115,p127-l10_20250404-160805,"Đường Cách Mạng Tháng 8, Phường 13, Quận 10, Tp Hồ Chí Minh"
116,p127-l1_20250404-160805,"Đường Nguyễn Trãi, Phường 2, Quận 5, Tp Hồ Chí Minh"
117,p127-l4_20250404-160805,"Vòng Xoay Lê Đại Hành, Phường 10, Quận 10, Tp Hồ Chí Minh"
118,p127-l6_20250404-160805,"Đường Hậu Giang, Phường 12, Quận 5, Tp Hồ Chí Minh"
119,p128-l11_20250404-160805,"KHU DÂN CƯ BÌNH CHÁNH, Đường Nguyễn Văn Linh, Xã Phong Phú, Huyện Bình Chánh, Tp Hồ Chí Minh"
120,p128-l14_20250404-160805,"Đường Vòng xoay Lê Đại Hành, Phường 14, Quận 10, Tp Hồ Chí Minh"
121,p128-l15_20250404-160805,"Đường Lý Chính Thắng, Phường Võ Thị Sáu, Quận 3, Tp Hồ Chí Minh"
122,p128-l3_20250404-160805,"Đường vành đai Đầm Sen, Phường 3, Quận 11, Tp Hồ Chí Minh"
123,p128-l7_20250404-160805,"Đường Cách Mạng Tháng 8, Phường 15, Quận 10, Tp Hồ Chí Minh"
124,p128-l8_20250404-160805,"Đường Trần Quang Diệu, Phường 12, Quận 3, Tp Hồ Chí Minh"
125,p129-l16_20250404-160805,"Đường Khánh Hội, Phường 6, Quận 4, Tp Hồ Chí Minh"
126,p129-l19_20250404-160805,"Đường Hòa Bình, Phường 3, Quận 11, Tp Hồ Chí Minh"
127,p129-l7_20250404-160805,"Đường Lê Văn Sỹ, Phường 12, Quận 3, Tp Hồ Chí Minh"
